name,role,specific_institution_rule,broad_rule,pair_endpoint_occurrences,validation_status
FEDERAL HOME MORTGAGE CORPORATION,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"GOSHEN MORTGAGE REO, LLC",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
FEDERAL NATIONAL MORTGAGE ASSN,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"DEUTSCHE BANK NATIONAL TRUST COMPANY,AS TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"MORTGAGE PASS-THROUGH CERTIFICATES,SERIES 2006-NC4",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"HSBC BANK USA, NATIONAL ASSOCIATION",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
THE BANK OF NEW YORK MELLON TRUST COMPANY,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"CMG MORTGAGE, INC.",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE FOR MER",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST N.A., AS TRUSTEE FOR LSF9 MASTER",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"GSMPS MORTGAGE LOAN TRUST 2004-4, U.S. BANK NATION",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS TRUSTEE",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
THE BANK OF NEW YORK MELLON TRUST CO,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
HSBC BANK USA NA,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"BANK OF AMERICA, N.A",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK, NATIONAL ASSOCIATION AS LEGAL TITLE TRU",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
THE BANK OF NEW YORK MELLON TRUST COMPANY,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
GREEN TREE SERVICING LLC,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"DEUTSCHE BANK NATIONAL TRUST COMPANY, TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"UMB BANK, NATIONAL ASSOCIATION, NOT IN ITS INDIVID",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
RESIDENTIAL ASSET MORTGAGE PRODUCTS INC,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
JPMORGAN CHASE BANK. N.A,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST, NATIONAL ASSOCIATION, NOT IN ITS",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
US BANK NA AS LEGAL TITLE TRUSTEE FOR TRUMAN 2016,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
LASALLE BANK N A,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"NATIONSTAR MORTGAGE LLC,AS ATTORNEY IN FACT",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
FOR CARLSBAD FUNDING MORTGAGE TRUST,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE, IN",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"MORTGAGE LOAN TRUST, MORTGAGE LOAN ASSET-BACKED",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB NOT IN ITS",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
RESIDENTIAL MORTGAGE AGGREGATION TRUST,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
THE BANK OF NEW YORK MELLON AS TRUSTEE,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
FKA THE BANK OF NEW YORK,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
UMB BANK NATIONAL ASSOCIATION,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST NATIONAL ASSOCIATION, TRUSTEE",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK, NATIONAL ASSOCIATION, AS TRUSTEE FOR SP",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
JPMORGAN CHASE MORTGAGE ACQUISTION CORP,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"US BANK NA, TRUSTEE FOR VCC LOAN TRUST 2017-2",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK TRUST N.A,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"C/O RUSHMORE LOAN MANAGEMENT SERVICES, LLC",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB, D/B/A",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"CIT BANK, N.A.",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
MERRILL LYNCH FIRST FRANKLIN MORTGAGE LOAN TRUST,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST, NATIONAL ASSOCIATION,TRUSTEE",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST N.A., AS TRUSTEE FOR LSRMF MH",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
ACE SECURITIES CORP. HOME EQUITY LOAN TRUST,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"HSBC BANK USA, N.A., AS TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
